Date,RTB 03-10,RTB 03-11,RTB 05-12,RTB 05-13,RTB 05-14,RTB 05-15,RTB 05-16,RTB 10-04,RTB 10-05,RTB 15-01,RTB 15-02,RTB 20-01,RTB 25-01
5/9/2019,,,93.99930917,,,,,53.67929222,50.08366253,95.42394638,80.65681765,85.48138401,93.41981361
5/10/2019,,,94.19764109,,,,,53.32154482,50.66469701,96.36019585,80.9891472,87.4133644,93.1146552
5/14/2019,,,94.88278029,,,,,56.06735838,50.80936721,90.40802175,82.50320019,88.54537985,92.14910552
5/15/2019,,,95.13389793,,,,,56.71903453,51.33088219,93.02847665,82.92882723,87.89313344,91.23464949
5/16/2019,,,95.52588923,,,,,55.91136624,50.73672485,92.67166954,83.37367837,89.50623479,90.9309933
5/17/2019,,,95.06023845,,,,,55.70529439,50.72231326,91.19266446,83.83794623,90.01878252,90.86301612
5/20/2019,,,95.73634867,,,,,53.82060834,50.37579966,90.24261342,85.34920528,89.93119637,87.87426121
5/21/2019,,,96.05257569,,,,,53.54307874,50.61336097,89.95491755,85.89310502,90.54053974,88.69349351
5/22/2019,,,96.95429413,,,,,53.52941118,51.25140474,89.68196184,85.81997405,93.2664262,88.48057931
5/23/2019,,,97.73872119,,,,,53.95794818,50.07308709,93.64376192,86.40759699,95.24095478,87.78443651
5/24/2019,,,99.05883434,,,,,53.58406519,52.47709204,93.40723566,87.01615859,93.6166063,90.37813049
5/27/2019,,,101.0518561,,,,,53.64217129,53.83425157,92.78764316,88.96959306,96.80854244,90.33695554
5/28/2019,,,102.3799038,,,,,54.11853758,54.39106964,92.62614027,89.66403771,99.4019483,89.27450652
5/29/2019,,,104.3821885,,,,,53.44129331,54.60376726,93.97184453,90.38049601,98.99340265,89.97286976
5/30/2019,,,103.8369883,,,,,52.78959499,55.06581325,92.63368681,91.11918948,102.0163531,90.60207954
5/31/2019,,,105.4839219,,,,,54.34166361,54.82337871,92.63368681,91.11918948,103.8609324,91.37365681
6/3/2019,,,109.1295336,,,,,53.96165832,57.38203747,92.2954011,90.75278875,104.6590168,91.66619945
6/4/2019,,,111.1233756,,,,,54.34786236,56.56126949,97.1745753,90.20306313,102.9591147,94.28982014
6/6/2019,,,113.6549251,,,,,54.54771128,58.72583214,94.77160912,89.13218667,102.8390462,94.6986892
6/7/2019,,,116.4388527,,,,,55.77068799,61.11274633,94.74212681,88.61122785,103.9360581,96.99861318
6/10/2019,,,123.2905122,,,,,57.45512428,64.72215817,106.8037488,100.3519982,102.4864999,100.068603
6/11/2019,,,122.4889031,,,,,55.50442638,61.18018674,106.8427994,97.84782618,106.6393636,100.9399595
6/13/2019,,,122.0675559,,,,,55.08130623,64.26912593,101.8007409,96.97689016,104.7200286,98.49811435
6/14/2019,,,120.4719225,,,,,54.61252539,63.79522985,101.8901207,96.96495004,104.0744648,96.19010569
6/17/2019,,,117.4648883,,,,,53.88586631,64.68002252,102.2620725,95.7663704,101.0417413,95.15015001
6/18/2019,,,118.6771175,,,,,54.95901314,65.13026923,102.2299084,95.38726756,100.8579561,96.44406404
6/19/2019,,,120.4549253,,,,,55.85398801,66.85775179,102.407023,95.01853528,102.8632365,98.78431647
6/20/2019,,,121.021077,,,,,55.30519931,68.2753643,108.1407749,94.66027008,104.6245409,99.11693361
6/21/2019,,,118.9732313,,,,,55.5249783,67.75325119,103.2293114,94.31256943,100.9222648,98.91237292
6/24/2019,,,118.6103454,,,,,55.75440492,66.28603666,106.8394482,93.54386098,101.1062768,99.25662689
6/25/2019,,,120.8463315,,,,,57.53874778,65.96412452,106.4961698,93.2398084,99.55779835,99.18924167
6/26/2019,,,118.6001025,,,,,55.98485853,65.64823881,108.0572154,92.94681058,100.5015603,98.60647259
6/27/2019,,,118.4887051,,,,,55.49520962,65.4051455,108.377499,92.66497029,102.2732024,99.44186298
6/28/2019,,,118.5070803,,,,,56.36143364,65.37048636,108.7167763,91.34441899,98.0019463,99.34637271
7/1/2019,,,116.0307745,,,,,55.36354764,64.1921685,109.8503327,92.67605811,98.4549828,99.36339969
7/2/2019,,,116.7771843,,,,,55.5012601,63.21392501,111.1520525,93.59944215,96.54631063,100.3792732
